scenario,opponent,opponent_class,strategy,family,agent_first,runs,advantage,concealing,score
Laptop,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,second,1,0.6685754732133643,1.0,1.6685754732133642
NiceOrDie,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,first,1,0.1654761904761905,0.5,0.6654761904761906
NiceOrDie,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,second,1,0.1654761904761905,0.5,0.6654761904761906
NiceOrDie,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,first,1,0.1654761904761905,0.5,0.6654761904761906
NiceOrDie,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,second,1,0.1654761904761905,0.5,0.6654761904761906
NiceOrDie,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,first,1,0.1654761904761905,0.5,0.6654761904761906
NiceOrDie,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,second,1,0.1654761904761905,0.5,0.6654761904761906
NiceOrDie,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,first,1,0.1654761904761905,1.0,1.1654761904761906
NiceOrDie,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,second,1,0.1654761904761905,1.0,1.1654761904761906
NiceOrDie,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,first,1,0.1654761904761905,1.0,1.1654761904761906
NiceOrDie,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,second,1,0.1654761904761905,1.0,1.1654761904761906
NiceOrDie,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,first,1,0.1654761904761905,1.0,1.1654761904761906
NiceOrDie,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,second,1,0.1654761904761905,1.0,1.1654761904761906
NiceOrDie,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,first,1,0.0,1.0,1.0
NiceOrDie,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,second,1,0.0,1.0,1.0
NiceOrDie,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,first,1,0.1654761904761905,1.0,1.1654761904761906
NiceOrDie,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,second,1,0.1654761904761905,1.0,1.1654761904761906
