agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v4.2,stress,baseline,Camera,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.5840767547550917,1.0,1.5840767547550916
v4.2,stress,baseline,Camera,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.6450887278180455,1.0,1.6450887278180455
v4.2,stress,baseline,Camera,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.6381922235313919,1.0,1.638192223531392
v4.2,stress,baseline,Camera,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.5869782554361411,1.0,1.586978255436141
v4.2,stress,baseline,Camera,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,first,2,0.5009257700723784,0.5,1.0009257700723784
v4.2,stress,baseline,Camera,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,second,2,0.2764308922769308,1.0,1.2764308922769307
v4.2,stress,baseline,Camera,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,first,2,0.48140043763676144,0.6212695242403017,1.102669961877063
v4.2,stress,baseline,Camera,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,second,2,0.6688327918020496,0.6117992700138619,1.2806320618159115
v4.2,stress,baseline,Camera,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,first,2,0.47702407002188174,0.6150282862541112,1.092052356275993
v4.2,stress,baseline,Camera,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,second,2,0.5802299425143714,0.614207670227628,1.1944376127419996
v4.2,stress,baseline,Camera,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,first,2,0.6204342703248611,1.0,1.620434270324861
v4.2,stress,baseline,Camera,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,second,2,0.6377155711072233,1.0,1.6377155711072233
v4.2,stress,baseline,Camera,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,first,2,0.6204342703248611,1.0,1.620434270324861
v4.2,stress,baseline,Camera,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,second,2,0.6100974756310923,1.0,1.6100974756310924
v4.2,stress,baseline,Car,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,first,2,0.7031000000000001,1.0,1.7031
v4.2,stress,baseline,Car,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,second,2,0.7598000000000001,1.0,1.7598000000000003
v4.2,stress,baseline,Car,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,first,2,0.76515,0.0,0.76515
v4.2,stress,baseline,Car,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,second,2,0.9787999999999999,1.0,1.9788
v4.2,stress,baseline,Car,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,first,2,0.6413,1.0,1.6413000000000002
v4.2,stress,baseline,Car,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,second,2,0.8128000000000002,1.0,1.8128000000000002
v4.2,stress,baseline,Car,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,first,2,0.0,1.0,1.0
v4.2,stress,baseline,Car,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,second,2,0.0,1.0,1.0
v4.2,stress,baseline,Car,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,first,2,0.7775000000000001,1.0,1.7775
v4.2,stress,baseline,Car,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.7698,1.0,1.7698
v4.2,stress,baseline,Car,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.8774,1.0,1.8774
v4.2,stress,baseline,Car,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.7676000000000001,1.0,1.7676000000000003
v4.2,stress,baseline,Car,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.5724,1.0,1.5724
